Arcade_ID|Arcade_Name|Game
50|CLOSED|Dance Dance Revolution EXTREME
51|Chuck E. Cheeses (Tampa Bay)|Pump It Up NX2
52|Worlds of Fun, SM City Cebu|Tekken Tag Tournament 2 Unlimited
52|Worlds of Fun, SM City Cebu|Tekken 6: Bloodline Rebellion
52|Worlds of Fun, SM City Cebu|Pump It Up PRIME
53|World of Fun, E-Mall|Drum Live Station
53|World of Fun, E-Mall|Pump It Up PRIME
54|Taylorsville Nicklecade|Dance Dance Revolution EXTREME
55|Cobb Theatres 17|Guitar Hero Arcade
55|Cobb Theatres 17|DanceDanceRevolution SuperNOVA2
